DIGITALBUTTON_AXIS,,Controller button input as axis input
,IOM_JOYSTICK_AXIS3,hardware dependent
,IOM_JOYSTICK_AXIS4,hardware dependent
,IOM_JOYSTICK_AXIS5,hardware dependent
,IOM_JOYSTICK_AXIS6,hardware dependent
,IOM_JOYSTICK_AXIS7,hardware dependent
,IOM_JOYSTICK_AXIS8,hardware dependent
JOYSTICK_POV,,Joystick / flight stick point of view input
,IOM_POV1_UP,hardware dependent
,IOM_POV1_RIGHT,hardware dependent
,IOM_POV1_DOWN,hardware dependent
,IOM_POV1_LEFT,hardware dependent
,IOM_POV2_UP,hardware dependent
,IOM_POV2_RIGHT,hardware dependent
,IOM_POV2_DOWN,hardware dependent
,IOM_POV2_LEFT,hardware dependent
,IOM_POV3_UP,hardware dependent
,IOM_POV3_RIGHT,hardware dependent
,IOM_POV3_DOWN,hardware dependent
,IOM_POV3_LEFT,hardware dependent
,IOM_POV4_UP,hardware dependent
,IOM_POV4_RIGHT,hardware dependent
,IOM_POV4_DOWN,hardware dependent
,IOM_POV4_LEFT,hardware dependent
JOYSTICK_POV_AXIS,,Joystick / flight stick point of view axis input
,IOM_POV1_UP,hardware dependent
,IOM_POV1_RIGHT,hardware dependent
,IOM_POV1_DOWN,hardware dependent
,IOM_POV1_LEFT,hardware dependent
,IOM_POV2_UP,hardware dependent
,IOM_POV2_RIGHT,hardware dependent
,IOM_POV2_DOWN,hardware dependent
,IOM_POV2_LEFT,hardware dependent
,IOM_POV3_UP,hardware dependent
,IOM_POV3_RIGHT,hardware dependent
,IOM_POV3_DOWN,hardware dependent
,IOM_POV3_LEFT,hardware dependent
,IOM_POV4_UP,hardware dependent
,IOM_POV4_RIGHT,hardware dependent
,IOM_POV4_DOWN,hardware dependent
,IOM_POV4_LEFT,hardware dependent
KEYBOARD,,Keyboard input (including the Xbox Controller Chatpad)
,BACK,Backspace
,TAB,Tab
,RETURN,Enter
,PAUSE,Pause Break
,CAPITAL,Caps Lock
,ESCAPE,Escape
,SPACE,Space bar
,PAGEUP,Page Up
,PRIOR,Page Up
,PAGEDOWN,Page Down
,NEXT,Page Down
,END,End
,HOME,Home
,LEFT,Left Arrow
,UP,Up Arrow
,RIGHT,Right Arrow
,DOWN,Down Arrow
,SYSRQ,Print Screen
,SNAPSHOT,Print Screen
,INSERT,Insert
,DELETE,Delete
,0,0
,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,A,A
,B,B
,C,C
,D,D
,E,E
,F,F
,G,G
,H,H
,I,I
,J,J
,K,K
,L,L
,M,M
,N,N
,O,O
,P,P
,Q,Q
,R,R
,S,S
,T,T
,U,U
,V,V
,W,W
,X,X
,Y,Y
,Z,Z
,LWIN,Left OS/Windows Key
,RWIN,Right OS/Windows Key
,APPS,Context Menu Key
,NUMPAD0,Numpad 0
,NUMPAD1,Numpad 1
,NUMPAD2,Numpad 2
,NUMPAD3,Numpad 3
,NUMPAD4,Numpad 4
,NUMPAD5,Numpad 5
,NUMPAD6,Numpad 6
,NUMPAD7,Numpad 7
,NUMPAD8,Numpad 8
,NUMPAD9,Numpad 9
,MULTIPLY,Numpad Multiply
,ADD,Numpad Plus
,SUBTRACT,Numpad Subtract
,DECIMAL,Numpad Decimal
,DIVIDE,Numpad Slash
,NUMPADEQUALS,Numpad Equals
,NUMPADENTER,Numpad Enter
,F1,F1
,F2,F2
,F3,F3
,F4,F4
,F5,F5
,F6,F6
,F7,F7
,F8,F8
,F9,F9
,F10,F10
,F11,F11
,F12,F12
,F13,F13
,F14,F14
,F15,F15
,F16,F16
,F17,F17
,F18,F18
,F19,F19
,F20,F20
,F21,F21
,F22,F22
,F23,F23
,F24,F24
,NUMLOCK,Num Lock
,SCROLL,Scroll Lock
,LSHIFT,Left Shift
,RSHIFT,Right Shift
,LCONTROL,Left Control
,RCONTROL,Right Control
,LMENU,Left Alt
,RMENU,Right Alt
,OEM_1,;
,SEMICOLON,;
,EQUALS,=
,PLUS,+
,COMMA,,
,MINUS,-
,PERIOD,.
,SLASH,/
,OEM_2,/
,OEM_3,`
,GRAVE,`
,LBRACKET,[
,OEM_4,[
,OEM_5,\
,BACKSLASH,\
,OEM_6,]
,RBRACKET,]
,APOSTROPHE,'
,OEM_7,'
,OEM_102,The "angle bracket key" or the backslash key on an RT 102-key keyboard
,RAGE_EXTRA1,unknown
,RAGE_EXTRA2,unknown
,RAGE_EXTRA3,unknown
,RAGE_EXTRA4,unknown
,CHATPAD_GREEN_SHIFT,Xbox Chatpad Green Button
,CHATPAD_ORANGE_SHIFT,Xbox Chatpad Orange Button
MKB_AXIS,,Mouse & keyboard input as axis input
,UNKNOWN1,Valid parameters for this mapper are unknown.
,UNKNOWN2,This is presumably an input mapper for axis input from mouse and keyboard input.
MOUSE_ABSOLUTEAXIS,,Mouse axis input (absolute)
,IOM_AXIS_X,Mouse X Axis
,IOM_AXIS_Y,Mouse Y Axis
,IOM_AXIS_WHEEL,Mouse Wheel Axis
,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
,IOM_IAXIS_X,Mouse X Axis (Inverted)
,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
,BASIC_MOUSE_AXIS_MAX,unknown
,MOUSE_AXIS_MAX,unknown
MOUSE_BUTTON,,Mouse button input
,MOUSE_LEFT,Mouse Button 0 (Left Click)
,MOUSE_RIGHT,Mouse Button 1 (Right Click)
,MOUSE_MIDDLE,Mouse Button 2 (Middle Click)
,MOUSE_EXTRABTN1,Mouse Button 3
,MOUSE_EXTRABTN2,Mouse Button 4
,MOUSE_EXTRABTN3,Mouse Button 5
,MOUSE_EXTRABTN4,Mouse Button 6
,MOUSE_EXTRABTN5,Mouse Button 7
,IOM_WHEEL_UP,Mouse Wheel Up
,IOM_WHEEL_DOWN,Mouse Wheel Down
MOUSE_BUTTONANY,,Mouse button input (no known difference from MOUSE_BUTTON)
,MOUSE_LEFT,Mouse Button 0 (Left Click)
,MOUSE_RIGHT,Mouse Button 1 (Right Click)
,MOUSE_MIDDLE,Mouse Button 2 (Middle Click)
,MOUSE_EXTRABTN1,Mouse Button 3
,MOUSE_EXTRABTN2,Mouse Button 4
,MOUSE_EXTRABTN3,Mouse Button 5
,MOUSE_EXTRABTN4,Mouse Button 6
,MOUSE_EXTRABTN5,Mouse Button 7
,IOM_WHEEL_UP,Mouse Wheel Up
,IOM_WHEEL_DOWN,Mouse Wheel Down
MOUSE_CENTEREDAXIS,,Mouse axis input (centered)
,IOM_AXIS_X,Mouse X Axis
,IOM_AXIS_Y,Mouse Y Axis
,IOM_AXIS_WHEEL,Mouse Wheel Axis
,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
,IOM_IAXIS_X,Mouse X Axis (Inverted)
,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
,BASIC_MOUSE_AXIS_MAX,unknown
,MOUSE_AXIS_MAX,unknown
MOUSE_RELATIVEAXIS,,Mouse axis input (relative)
,IOM_AXIS_X,Mouse X Axis
,IOM_AXIS_Y,Mouse Y Axis
,IOM_AXIS_WHEEL,Mouse Wheel Axis
,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
,IOM_IAXIS_X,Mouse X Axis (Inverted)
,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
,BASIC_MOUSE_AXIS_MAX,unknown
,MOUSE_AXIS_MAX,unknown
MOUSE_SCALEDAXIS,,Mouse axis input (scaled)
,IOM_AXIS_X,Mouse X Axis
,IOM_AXIS_Y,Mouse Y Axis
,IOM_AXIS_WHEEL,Mouse Wheel Axis
,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
,IOM_IAXIS_X,Mouse X Axis (Inverted)
,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
,BASIC_MOUSE_AXIS_MAX,unknown
,MOUSE_AXIS_MAX,unknown
MOUSE_NORMALIZED,,Mouse axis input (normalized)
,IOM_AXIS_X,Mouse X Axis
,IOM_AXIS_Y,Mouse Y Axis
,IOM_AXIS_WHEEL,Mouse Wheel Axis
,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
,IOM_IAXIS_X,Mouse X Axis (Inverted)
,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
,BASIC_MOUSE_AXIS_MAX,unknown
,MOUSE_AXIS_MAX,unknown
MOUSE_WHEEL,,Mouse wheel input
,IOM_WHEEL_UP,Mouse Wheel Up
,IOM_WHEEL_DOWN,Mouse Wheel Down
PAD_ANALOGBUTTON,,Controller trigger input
,L1_INDEX,Left Shoulder Button
,R1_INDEX,Right Shoulder Button
,L2_INDEX,Left Trigger (considered "pressed" half way through the travel of the trigger)
,R2_INDEX,Right Trigger (considered "pressed" half way through the travel of the trigger)
,L3_INDEX,Left Stick Press
,R3_INDEX,Right Stick Press
,LUP_INDEX,D-pad Up
,LRIGHT_INDEX,D-pad Right
,LDOWN_INDEX,D-pad Down
,LLEFT_INDEX,D-pad Left
,RUP_INDEX,Y / Triangle
,RRIGHT_INDEX,B / Circle
,RDOWN_INDEX,A / Cross
,RLEFT_INDEX,X / Square
,SELECT_INDEX,Change View / Share
,START_INDEX,Menu / Options
,TOUCH_INDEX,Touchpad (?)
PAD_AXIS,,Controller axis input
,IOM_AXIS_LX,unknown
,IOM_AXIS_LY,unknown
,IOM_AXIS_RX,unknown
,IOM_AXIS_RY,unknown
,IOM_AXIS_LUP,unknown
,IOM_AXIS_LDOWN,unknown
,IOM_AXIS_LLEFT,unknown
,IOM_AXIS_LRIGHT,unknown
,IOM_AXIS_LUR,unknown
,IOM_AXIS_LUL,unknown
,IOM_AXIS_LDR,unknown
,IOM_AXIS_LDL,unknown
,IOM_AXIS_RUP,unknown
,IOM_AXIS_RDOWN,unknown
,IOM_AXIS_RLEFT,unknown
,IOM_AXIS_RRIGHT,unknown
,IOM_AXIS_RUR,unknown
,IOM_AXIS_RUL,unknown
,IOM_AXIS_RDR,unknown
,IOM_AXIS_RDL,unknown
,IOM_AXIS_DPADX,unknown
,IOM_AXIS_DPADY,unknown
,IOM_AXIS_LY_UP,unknown
,IOM_AXIS_LY_DOWN,unknown
,IOM_AXIS_LX_LEFT,unknown
,IOM_AXIS_LX_RIGHT,unknown
,IOM_AXIS_RY_UP,unknown
,IOM_AXIS_RY_DOWN,unknown
,IOM_AXIS_RX_LEFT,unknown
,IOM_AXIS_RX_RIGHT,unknown
PAD_DEBUGBUTTON,,Controller button input (debug interface, non functional)
,L1,Left Shoulder Button
,R1,Right Shoulder Button
,L2,Left Trigger
,R2,Right Trigger
,L3,Left Stick Press
,R3,Right Stick Press
,LUP,D-pad Up
,LRIGHT,D-pad Right
,LDOWN,D-pad Down
,LLEFT,D-pad Left
,RUP,Y / Triangle
,RRIGHT,B / Circle
,RDOWN,A / Cross
,RLEFT,X / Square
,SELECT,Change View / Share
,START,Menu / Options
,TOUCH,Touchpad (?)
PAD_DIGITALBUTTON,,Controller button input
,L1_INDEX,Left Shoulder Button
,R1_INDEX,Right Shoulder Button
,L2_INDEX,Left Trigger (considered "pressed" half way through the travel of the trigger)
,R2_INDEX,Right Trigger (considered "pressed" half way through the travel of the trigger)
,L3_INDEX,Left Stick Press
,R3_INDEX,Right Stick Press
,LUP_INDEX,D-pad Up
,LRIGHT_INDEX,D-pad Right
,LDOWN_INDEX,D-pad Down
,LLEFT_INDEX,D-pad Left
,RUP_INDEX,Y / Triangle
,RRIGHT_INDEX,B / Circle
,RDOWN_INDEX,A / Cross
,RLEFT_INDEX,X / Square
,SELECT_INDEX,Change View / Share
,START_INDEX,Menu / Options
,TOUCH_INDEX,Touchpad (?)
PAD_DIGITALBUTTONANY,,Controller button input (no known difference from PAD_DIGITALBUTTON)
,L1_INDEX,Left Shoulder Button
,R1_INDEX,Right Shoulder Button
,L2_INDEX,Left Trigger (considered "pressed" half way through the travel of the trigger)
,R2_INDEX,Right Trigger (considered "pressed" half way through the travel of the trigger)
,L3_INDEX,Left Stick Press
,R3_INDEX,Right Stick Press
,LUP_INDEX,D-pad Up
,LRIGHT_INDEX,D-pad Right
,LDOWN_INDEX,D-pad Down
,LLEFT_INDEX,D-pad Left
,RUP_INDEX,Y / Triangle
,RRIGHT_INDEX,B / Circle
,RDOWN_INDEX,A / Cross
,RLEFT_INDEX,X / Square
,SELECT_INDEX,Change View / Share
,START_INDEX,Menu / Options
,TOUCH_INDEX,Touchpad (?)
TOUCHPAD_ABSOLUTE_AXIS,,PS4/5 controller touchpad axis input (absolute)
,UNKNOWN1,Vaild parameters for this mapper are unknown.
,UNKNOWN2,This is presumably an input source for the PS4/5 controller touchpad.
TOUCHPAD_CENTERED_AXIS,,PS4/5 controller touchpad axis input (centered)
,UNKNOWN1,Valid parameters for this mapper are unknown.
,UNKNOWN2,This is presumably an input source for the PS4/5 controller touchpad.
