Gathered from fivem docs,,,this was column was generated by grok (and checked with equal.py),,,
33,INPUT_MOVE_DOWN_ONLY,S,S,JOYSTICK_BUTTON,,Joystick / flight stick button input
34,INPUT_MOVE_LEFT_ONLY,A,A,,IOM_JOYSTICK_BUTTON1,hardware dependent
35,INPUT_MOVE_RIGHT_ONLY,D,D,,IOM_JOYSTICK_BUTTON2,hardware dependent
36,INPUT_DUCK,LEFT CTRL,LCONTROL,,IOM_JOYSTICK_BUTTON3,hardware dependent
37,INPUT_SELECT_WEAPON,TAB,TAB,,IOM_JOYSTICK_BUTTON4,hardware dependent
38,INPUT_PICKUP,E,E,,IOM_JOYSTICK_BUTTON5,hardware dependent
39,INPUT_SNIPER_ZOOM,[,LBRACKET,,IOM_JOYSTICK_BUTTON6,hardware dependent
40,INPUT_SNIPER_ZOOM_IN_ONLY,],RBRACKET,,IOM_JOYSTICK_BUTTON7,hardware dependent
41,INPUT_SNIPER_ZOOM_OUT_ONLY,[,LBRACKET,,IOM_JOYSTICK_BUTTON8,hardware dependent
42,INPUT_SNIPER_ZOOM_IN_SECONDARY,],RBRACKET,,IOM_JOYSTICK_BUTTON9,hardware dependent
43,INPUT_SNIPER_ZOOM_OUT_SECONDARY,[,LBRACKET,,IOM_JOYSTICK_BUTTON10,hardware dependent
44,INPUT_COVER,Q,Q,,IOM_JOYSTICK_BUTTON11,hardware dependent
45,INPUT_RELOAD,R,R,,IOM_JOYSTICK_BUTTON12,hardware dependent
46,INPUT_TALK,E,E,,IOM_JOYSTICK_BUTTON13,hardware dependent
47,INPUT_DETONATE,G,G,,IOM_JOYSTICK_BUTTON14,hardware dependent
48,INPUT_HUD_SPECIAL,Z,Z,,IOM_JOYSTICK_BUTTON15,hardware dependent
49,INPUT_ARREST,F,F,,IOM_JOYSTICK_BUTTON16,hardware dependent
50,INPUT_ACCURATE_AIM,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,IOM_JOYSTICK_BUTTON17,hardware dependent
51,INPUT_CONTEXT,E,E,,IOM_JOYSTICK_BUTTON18,hardware dependent
52,INPUT_CONTEXT_SECONDARY,Q,Q,,IOM_JOYSTICK_BUTTON19,hardware dependent
53,INPUT_WEAPON_SPECIAL,NONE,NONE,,IOM_JOYSTICK_BUTTON20,hardware dependent
54,INPUT_WEAPON_SPECIAL_TWO,E,E,,IOM_JOYSTICK_BUTTON21,hardware dependent
55,INPUT_DIVE,SPACEBAR,SPACE,,IOM_JOYSTICK_BUTTON22,hardware dependent
56,INPUT_DROP_WEAPON,F9,F9,,IOM_JOYSTICK_BUTTON23,hardware dependent
57,INPUT_DROP_AMMO,F10,F10,,IOM_JOYSTICK_BUTTON24,hardware dependent
58,INPUT_THROW_GRENADE,G,G,,IOM_JOYSTICK_BUTTON25,hardware dependent
59,INPUT_VEH_MOVE_LR,D,D,,IOM_JOYSTICK_BUTTON26,hardware dependent
60,INPUT_VEH_MOVE_UD,LEFT CTRL,LCONTROL,,IOM_JOYSTICK_BUTTON27,hardware dependent
61,INPUT_VEH_MOVE_UP_ONLY,LEFT SHIFT,LSHIFT,,IOM_JOYSTICK_BUTTON28,hardware dependent
62,INPUT_VEH_MOVE_DOWN_ONLY,LEFT CTRL,LCONTROL,,IOM_JOYSTICK_BUTTON29,hardware dependent
63,INPUT_VEH_MOVE_LEFT_ONLY,A,A,,IOM_JOYSTICK_BUTTON30,hardware dependent
64,INPUT_VEH_MOVE_RIGHT_ONLY,D,D,,IOM_JOYSTICK_BUTTON31,hardware dependent
65,INPUT_VEH_SPECIAL,NONE,NONE,,IOM_JOYSTICK_BUTTON32,hardware dependent
66,INPUT_VEH_GUN_LR,MOUSE RIGHT,MOUSE_RIGHT,JOYSTICK_IAXIS,,Joystick / flight stick axis input (inverted)
67,INPUT_VEH_GUN_UD,MOUSE DOWN,MOUSE_MIDDLE,,IOM_JOYSTICK_AXIS1,hardware dependent
68,INPUT_VEH_AIM,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_JOYSTICK_AXIS2,hardware dependent
69,INPUT_VEH_ATTACK,LEFT MOUSE BUTTON,MOUSE_LEFT,,IOM_JOYSTICK_AXIS3,hardware dependent
70,INPUT_VEH_ATTACK2,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_JOYSTICK_AXIS4,hardware dependent
71,INPUT_VEH_ACCELERATE,W,W,,IOM_JOYSTICK_AXIS5,hardware dependent
72,INPUT_VEH_BRAKE,S,S,,IOM_JOYSTICK_AXIS6,hardware dependent
73,INPUT_VEH_DUCK,X,X,,IOM_JOYSTICK_AXIS7,hardware dependent
74,INPUT_VEH_HEADLIGHT,H,H,,IOM_JOYSTICK_AXIS8,hardware dependent
75,INPUT_VEH_EXIT,F,F,JOYSTICK_POV,,Joystick / flight stick point of view input
76,INPUT_VEH_HANDBRAKE,SPACEBAR,SPACE,,IOM_POV1_UP,hardware dependent
77,INPUT_VEH_HOTWIRE_LEFT,W,W,,IOM_POV1_RIGHT,hardware dependent
78,INPUT_VEH_HOTWIRE_RIGHT,S,S,,IOM_POV1_DOWN,hardware dependent
79,INPUT_VEH_LOOK_BEHIND,C,C,,IOM_POV1_LEFT,hardware dependent
80,INPUT_VEH_CIN_CAM,R,R,,IOM_POV2_UP,hardware dependent
81,INPUT_VEH_NEXT_RADIO,.,PERIOD,,IOM_POV2_RIGHT,hardware dependent
82,INPUT_VEH_PREV_RADIO,",",COMMA,,IOM_POV2_DOWN,hardware dependent
83,INPUT_VEH_NEXT_RADIO_TRACK,=,=,,IOM_POV2_LEFT,hardware dependent
84,INPUT_VEH_PREV_RADIO_TRACK,-,MINUS,,IOM_POV3_UP,hardware dependent
85,INPUT_VEH_RADIO_WHEEL,Q,Q,,IOM_POV3_RIGHT,hardware dependent
86,INPUT_VEH_HORN,E,E,,IOM_POV3_DOWN,hardware dependent
87,INPUT_VEH_FLY_THROTTLE_UP,W,W,,IOM_POV3_LEFT,hardware dependent
88,INPUT_VEH_FLY_THROTTLE_DOWN,S,S,,IOM_POV4_UP,hardware dependent
89,INPUT_VEH_FLY_YAW_LEFT,A,A,,IOM_POV4_RIGHT,hardware dependent
90,INPUT_VEH_FLY_YAW_RIGHT,D,D,,IOM_POV4_DOWN,hardware dependent
91,INPUT_VEH_PASSENGER_AIM,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_POV4_LEFT,hardware dependent
92,INPUT_VEH_PASSENGER_ATTACK,LEFT MOUSE BUTTON,MOUSE_LEFT,JOYSTICK_POV_AXIS,,Joystick / flight stick point of view axis input
93,INPUT_VEH_SPECIAL_ABILITY_FRANKLIN,NONE,NONE,,IOM_POV1_UP,hardware dependent
94,INPUT_VEH_STUNT_UD,NONE,NONE,,IOM_POV1_RIGHT,hardware dependent
95,INPUT_VEH_CINEMATIC_UD,MOUSE DOWN,MOUSE_MIDDLE,,IOM_POV1_DOWN,hardware dependent
96,INPUT_VEH_CINEMATIC_UP_ONLY,"NUMPAD-, SCROLLWHEEL UP","SUBTRACT, IOM_WHEEL_UP",,IOM_POV1_LEFT,hardware dependent
97,INPUT_VEH_CINEMATIC_DOWN_ONLY,"NUMPAD+, SCROLLWHEEL DOWN","ADD, IOM_WHEEL_DOWN",,IOM_POV2_UP,hardware dependent
98,INPUT_VEH_CINEMATIC_LR,MOUSE RIGHT,MOUSE_RIGHT,,IOM_POV2_RIGHT,hardware dependent
99,INPUT_VEH_SELECT_NEXT_WEAPON,SCROLLWHEEL UP,IOM_WHEEL_UP,,IOM_POV2_DOWN,hardware dependent
100,INPUT_VEH_SELECT_PREV_WEAPON,[,LBRACKET,,IOM_POV2_LEFT,hardware dependent
101,INPUT_VEH_ROOF,H,H,,IOM_POV3_UP,hardware dependent
102,INPUT_VEH_JUMP,SPACEBAR,SPACE,,IOM_POV3_RIGHT,hardware dependent
103,INPUT_VEH_GRAPPLING_HOOK,E,E,,IOM_POV3_DOWN,hardware dependent
104,INPUT_VEH_SHUFFLE,H,H,,IOM_POV3_LEFT,hardware dependent
105,INPUT_VEH_DROP_PROJECTILE,X,X,,IOM_POV4_UP,hardware dependent
106,INPUT_VEH_MOUSE_CONTROL_OVERRIDE,LEFT MOUSE BUTTON,MOUSE_LEFT,,IOM_POV4_RIGHT,hardware dependent
107,INPUT_VEH_FLY_ROLL_LR,NUMPAD 6,NUMPAD6,,IOM_POV4_DOWN,hardware dependent
108,INPUT_VEH_FLY_ROLL_LEFT_ONLY,NUMPAD 4,NUMPAD4,,IOM_POV4_LEFT,hardware dependent
109,INPUT_VEH_FLY_ROLL_RIGHT_ONLY,NUMPAD 6,NUMPAD6,KEYBOARD,,Keyboard input (including the Xbox Controller Chatpad)
110,INPUT_VEH_FLY_PITCH_UD,NUMPAD 5,NUMPAD5,,BACK,Backspace
111,INPUT_VEH_FLY_PITCH_UP_ONLY,NUMPAD 8,NUMPAD8,,TAB,Tab
112,INPUT_VEH_FLY_PITCH_DOWN_ONLY,NUMPAD 5,NUMPAD5,,RETURN,Enter
113,INPUT_VEH_FLY_UNDERCARRIAGE,G,G,,PAUSE,Pause Break
114,INPUT_VEH_FLY_ATTACK,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,CAPITAL,Caps Lock
115,INPUT_VEH_FLY_SELECT_NEXT_WEAPON,SCROLLWHEEL UP,IOM_WHEEL_UP,,ESCAPE,Escape
116,INPUT_VEH_FLY_SELECT_PREV_WEAPON,[,LBRACKET,,SPACE,Space bar
117,INPUT_VEH_FLY_SELECT_TARGET_LEFT,NUMPAD 7,NUMPAD7,,PAGEUP,Page Up
118,INPUT_VEH_FLY_SELECT_TARGET_RIGHT,NUMPAD 9,NUMPAD9,,PRIOR,Page Up
119,INPUT_VEH_FLY_VERTICAL_FLIGHT_MODE,E,E,,PAGEDOWN,Page Down
120,INPUT_VEH_FLY_DUCK,X,X,,NEXT,Page Down
121,INPUT_VEH_FLY_ATTACK_CAMERA,INSERT,INSERT,,END,End
122,INPUT_VEH_FLY_MOUSE_CONTROL_OVERRIDE,LEFT MOUSE BUTTON,MOUSE_LEFT,,HOME,Home
123,INPUT_VEH_SUB_TURN_LR,NUMPAD 6,NUMPAD6,,LEFT,Left Arrow
124,INPUT_VEH_SUB_TURN_LEFT_ONLY,NUMPAD 4,NUMPAD4,,UP,Up Arrow
125,INPUT_VEH_SUB_TURN_RIGHT_ONLY,NUMPAD 6,NUMPAD6,,RIGHT,Right Arrow
126,INPUT_VEH_SUB_PITCH_UD,NUMPAD 5,NUMPAD5,,DOWN,Down Arrow
127,INPUT_VEH_SUB_PITCH_UP_ONLY,NUMPAD 8,NUMPAD8,,SYSRQ,Print Screen
128,INPUT_VEH_SUB_PITCH_DOWN_ONLY,NUMPAD 5,NUMPAD5,,SNAPSHOT,Print Screen
129,INPUT_VEH_SUB_THROTTLE_UP,W,W,,INSERT,Insert
130,INPUT_VEH_SUB_THROTTLE_DOWN,S,S,,DELETE,Delete
131,INPUT_VEH_SUB_ASCEND,LEFT SHIFT,LSHIFT,,0,0
132,INPUT_VEH_SUB_DESCEND,LEFT CTRL,LCONTROL,,1,1
133,INPUT_VEH_SUB_TURN_HARD_LEFT,A,A,,2,2
134,INPUT_VEH_SUB_TURN_HARD_RIGHT,D,D,,3,3
135,INPUT_VEH_SUB_MOUSE_CONTROL_OVERRIDE,LEFT MOUSE BUTTON,MOUSE_LEFT,,4,4
136,INPUT_VEH_PUSHBIKE_PEDAL,W,W,,5,5
137,INPUT_VEH_PUSHBIKE_SPRINT,CAPSLOCK,CAPITAL,,6,6
138,INPUT_VEH_PUSHBIKE_FRONT_BRAKE,Q,Q,,7,7
139,INPUT_VEH_PUSHBIKE_REAR_BRAKE,S,S,,8,8
140,INPUT_MELEE_ATTACK_LIGHT,R,R,,9,9
141,INPUT_MELEE_ATTACK_HEAVY,Q,Q,,A,A
142,INPUT_MELEE_ATTACK_ALTERNATE,LEFT MOUSE BUTTON,MOUSE_LEFT,,B,B
143,INPUT_MELEE_BLOCK,SPACEBAR,SPACE,,C,C
144,INPUT_PARACHUTE_DEPLOY,"F, LEFT MOUSE BUTTON","F, MOUSE_LEFT",,D,D
145,INPUT_PARACHUTE_DETACH,F,F,,E,E
146,INPUT_PARACHUTE_TURN_LR,D,D,,F,F
147,INPUT_PARACHUTE_TURN_LEFT_ONLY,A,A,,G,G
148,INPUT_PARACHUTE_TURN_RIGHT_ONLY,D,D,,H,H
149,INPUT_PARACHUTE_PITCH_UD,S,S,,I,I
150,INPUT_PARACHUTE_PITCH_UP_ONLY,W,W,,J,J
151,INPUT_PARACHUTE_PITCH_DOWN_ONLY,S,S,,K,K
152,INPUT_PARACHUTE_BRAKE_LEFT,Q,Q,,L,L
153,INPUT_PARACHUTE_BRAKE_RIGHT,E,E,,M,M
154,INPUT_PARACHUTE_SMOKE,X,X,,N,N
155,INPUT_PARACHUTE_PRECISION_LANDING,LEFT SHIFT,LSHIFT,,O,O
156,INPUT_MAP,NONE,NONE,,P,P
157,INPUT_SELECT_WEAPON_UNARMED,1,1,,Q,Q
158,INPUT_SELECT_WEAPON_MELEE,2,2,,R,R
159,INPUT_SELECT_WEAPON_HANDGUN,6,6,,S,S
160,INPUT_SELECT_WEAPON_SHOTGUN,3,3,,T,T
161,INPUT_SELECT_WEAPON_SMG,7,7,,U,U
162,INPUT_SELECT_WEAPON_AUTO_RIFLE,8,8,,V,V
163,INPUT_SELECT_WEAPON_SNIPER,9,9,,W,W
164,INPUT_SELECT_WEAPON_HEAVY,4,4,,X,X
165,INPUT_SELECT_WEAPON_SPECIAL,5,5,,Y,Y
166,INPUT_SELECT_CHARACTER_MICHAEL,F5,F5,,Z,Z
167,INPUT_SELECT_CHARACTER_FRANKLIN,F6,F6,,LWIN,Left OS/Windows Key
168,INPUT_SELECT_CHARACTER_TREVOR,F7,F7,,RWIN,Right OS/Windows Key
169,INPUT_SELECT_CHARACTER_MULTIPLAYER,F8 (CONSOLE),F8,,APPS,Context Menu Key
170,INPUT_SAVE_REPLAY_CLIP,F3,F3,,NUMPAD0,Numpad 0
171,INPUT_SPECIAL_ABILITY_PC,CAPSLOCK,CAPITAL,,NUMPAD1,Numpad 1
172,INPUT_CELLPHONE_UP,ARROW UP,UP,,NUMPAD2,Numpad 2
173,INPUT_CELLPHONE_DOWN,ARROW DOWN,DOWN,,NUMPAD3,Numpad 3
174,INPUT_CELLPHONE_LEFT,ARROW LEFT,LEFT,,NUMPAD4,Numpad 4
175,INPUT_CELLPHONE_RIGHT,ARROW RIGHT,RIGHT,,NUMPAD5,Numpad 5
176,INPUT_CELLPHONE_SELECT,"ENTER, LEFT MOUSE BUTTON","RETURN, MOUSE_LEFT",,NUMPAD6,Numpad 6
177,INPUT_CELLPHONE_CANCEL,"BACKSPACE, ESC, RIGHT MOUSE BUTTON","BACKSPACE, ESCAPE, MOUSE_RIGHT",,NUMPAD7,Numpad 7
178,INPUT_CELLPHONE_OPTION,DELETE,DELETE,,NUMPAD8,Numpad 8
179,INPUT_CELLPHONE_EXTRA_OPTION,SPACEBAR,SPACE,,NUMPAD9,Numpad 9
180,INPUT_CELLPHONE_SCROLL_FORWARD,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,MULTIPLY,Numpad Multiply
181,INPUT_CELLPHONE_SCROLL_BACKWARD,SCROLLWHEEL UP,IOM_WHEEL_UP,,ADD,Numpad Plus
182,INPUT_CELLPHONE_CAMERA_FOCUS_LOCK,L,L,,SUBTRACT,Numpad Subtract
183,INPUT_CELLPHONE_CAMERA_GRID,G,G,,DECIMAL,Numpad Decimal
184,INPUT_CELLPHONE_CAMERA_SELFIE,E,E,,DIVIDE,Numpad Slash
185,INPUT_CELLPHONE_CAMERA_DOF,F,F,,NUMPADEQUALS,Numpad Equals
186,INPUT_CELLPHONE_CAMERA_EXPRESSION,X,X,,NUMPADENTER,Numpad Enter
187,INPUT_FRONTEND_DOWN,ARROW DOWN,DOWN,,F1,F1
188,INPUT_FRONTEND_UP,ARROW UP,UP,,F2,F2
189,INPUT_FRONTEND_LEFT,ARROW LEFT,LEFT,,F3,F3
190,INPUT_FRONTEND_RIGHT,ARROW RIGHT,RIGHT,,F4,F4
191,INPUT_FRONTEND_RDOWN,ENTER,RETURN,,F5,F5
192,INPUT_FRONTEND_RUP,TAB,TAB,,F6,F6
193,INPUT_FRONTEND_RLEFT,NONE,NONE,,F7,F7
194,INPUT_FRONTEND_RRIGHT,BACKSPACE,BACKSPACE,,F8,F8
195,INPUT_FRONTEND_AXIS_X,D,D,,F9,F9
196,INPUT_FRONTEND_AXIS_Y,S,S,,F10,F10
197,INPUT_FRONTEND_RIGHT_AXIS_X,],RBRACKET,,F11,F11
198,INPUT_FRONTEND_RIGHT_AXIS_Y,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,F12,F12
199,INPUT_FRONTEND_PAUSE,P,P,,F13,F13
200,INPUT_FRONTEND_PAUSE_ALTERNATE,ESC,ESCAPE,,F14,F14
201,INPUT_FRONTEND_ACCEPT,"ENTER, NUMPAD ENTER","RETURN, NUMPADENTER",,F15,F15
202,INPUT_FRONTEND_CANCEL,"BACKSPACE, ESC","BACKSPACE, ESCAPE",,F16,F16
203,INPUT_FRONTEND_X,SPACEBAR,SPACE,,F17,F17
204,INPUT_FRONTEND_Y,TAB,TAB,,F18,F18
205,INPUT_FRONTEND_LB,Q,Q,,F19,F19
206,INPUT_FRONTEND_RB,E,E,,F20,F20
207,INPUT_FRONTEND_LT,PAGE DOWN,PAGEDOWN,,F21,F21
208,INPUT_FRONTEND_RT,PAGE UP,PAGEUP,,F22,F22
209,INPUT_FRONTEND_LS,LEFT SHIFT,LSHIFT,,F23,F23
210,INPUT_FRONTEND_RS,LEFT CONTROL,LCONTROL,,F24,F24
211,INPUT_FRONTEND_LEADERBOARD,TAB,TAB,,NUMLOCK,Num Lock
212,INPUT_FRONTEND_SOCIAL_CLUB,HOME,HOME,,SCROLL,Scroll Lock
213,INPUT_FRONTEND_SOCIAL_CLUB_SECONDARY,HOME,HOME,,LSHIFT,Left Shift
214,INPUT_FRONTEND_DELETE,DELETE,DELETE,,RSHIFT,Right Shift
215,INPUT_FRONTEND_ENDSCREEN_ACCEPT,ENTER,RETURN,,LCONTROL,Left Control
216,INPUT_FRONTEND_ENDSCREEN_EXPAND,SPACEBAR,SPACE,,RCONTROL,Right Control
217,INPUT_FRONTEND_SELECT,CAPSLOCK,CAPITAL,,LMENU,Left Alt
218,INPUT_SCRIPT_LEFT_AXIS_X,D,D,,RMENU,Right Alt
219,INPUT_SCRIPT_LEFT_AXIS_Y,S,S,,OEM_1,;
220,INPUT_SCRIPT_RIGHT_AXIS_X,MOUSE RIGHT,MOUSE_RIGHT,,SEMICOLON,;
221,INPUT_SCRIPT_RIGHT_AXIS_Y,MOUSE DOWN,MOUSE_MIDDLE,,EQUALS,=
222,INPUT_SCRIPT_RUP,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,PLUS,+
223,INPUT_SCRIPT_RDOWN,LEFT MOUSE BUTTON,MOUSE_LEFT,,COMMA,","
224,INPUT_SCRIPT_RLEFT,LEFT CTRL,LCONTROL,,MINUS,-
225,INPUT_SCRIPT_RRIGHT,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,PERIOD,.
226,INPUT_SCRIPT_LB,NONE,NONE,,SLASH,/
227,INPUT_SCRIPT_RB,NONE,NONE,,OEM_2,/
228,INPUT_SCRIPT_LT,NONE,NONE,,OEM_3,`
229,INPUT_SCRIPT_RT,LEFT MOUSE BUTTON,MOUSE_LEFT,,GRAVE,`
230,INPUT_SCRIPT_LS,NONE,NONE,,LBRACKET,[
231,INPUT_SCRIPT_RS,NONE,NONE,,OEM_4,[
232,INPUT_SCRIPT_PAD_UP,W,W,,OEM_5,\
233,INPUT_SCRIPT_PAD_DOWN,S,S,,BACKSLASH,\
234,INPUT_SCRIPT_PAD_LEFT,A,A,,OEM_6,]
235,INPUT_SCRIPT_PAD_RIGHT,D,D,,RBRACKET,]
236,INPUT_SCRIPT_SELECT,V,V,,APOSTROPHE,'
237,INPUT_CURSOR_ACCEPT,LEFT MOUSE BUTTON,MOUSE_LEFT,,OEM_7,'
238,INPUT_CURSOR_CANCEL,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,OEM_102,"The ""angle bracket key"" or the backslash key on an RT 102-key keyboard"
239,INPUT_CURSOR_X,NONE,NONE,,RAGE_EXTRA1,unknown
240,INPUT_CURSOR_Y,NONE,NONE,,RAGE_EXTRA2,unknown
241,INPUT_CURSOR_SCROLL_UP,SCROLLWHEEL UP,IOM_WHEEL_UP,,RAGE_EXTRA3,unknown
242,INPUT_CURSOR_SCROLL_DOWN,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,RAGE_EXTRA4,unknown
243,INPUT_ENTER_CHEAT_CODE,"~, `",OEM_3,,CHATPAD_GREEN_SHIFT,Xbox Chatpad Green Button
244,INPUT_INTERACTION_MENU,M,M,,CHATPAD_ORANGE_SHIFT,Xbox Chatpad Orange Button
245,INPUT_MP_TEXT_CHAT_ALL,T,T,MKB_AXIS,,Mouse & keyboard input as axis input
246,INPUT_MP_TEXT_CHAT_TEAM,Y,Y,,UNKNOWN,Valid parameters for this mapper are unknown.
247,INPUT_MP_TEXT_CHAT_FRIENDS,NONE,NONE,,UNKNOWN,This is presumably an input mapper for axis input from mouse and keyboard input.
248,INPUT_MP_TEXT_CHAT_CREW,NONE,NONE,MOUSE_ABSOLUTEAXIS,,Mouse axis input (absolute)
249,INPUT_PUSH_TO_TALK,N,N,,IOM_AXIS_X,Mouse X Axis
250,INPUT_CREATOR_LS,R,R,,IOM_AXIS_Y,Mouse Y Axis
251,INPUT_CREATOR_RS,F,F,,IOM_AXIS_WHEEL,Mouse Wheel Axis
252,INPUT_CREATOR_LT,X,X,,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
253,INPUT_CREATOR_RT,C,C,,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
254,INPUT_CREATOR_MENU_TOGGLE,LEFT SHIFT,LSHIFT,,IOM_IAXIS_X,Mouse X Axis (Inverted)
255,INPUT_CREATOR_ACCEPT,SPACEBAR,SPACE,,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
256,INPUT_CREATOR_DELETE,DELETE,DELETE,,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
257,INPUT_ATTACK2,LEFT MOUSE BUTTON,MOUSE_LEFT,,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
258,INPUT_RAPPEL_JUMP,NONE,NONE,,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
259,INPUT_RAPPEL_LONG_JUMP,NONE,NONE,,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
260,INPUT_RAPPEL_SMASH_WINDOW,NONE,NONE,,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
261,INPUT_PREV_WEAPON,SCROLLWHEEL UP,IOM_WHEEL_UP,,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
262,INPUT_NEXT_WEAPON,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
263,INPUT_MELEE_ATTACK1,R,R,,BASIC_MOUSE_AXIS_MAX,unknown
264,INPUT_MELEE_ATTACK2,Q,Q,,MOUSE_AXIS_MAX,unknown
